Output Factor
Date and time: 2026-04-03_10-51-05
Description: {}
ACR used: 1.1
Rank used: 1
Integration time: 752 us
Number,Time,ch0,ch1
0,0.000752,12.0,12.0
1,0.001503,12.0,12.0
2,0.002256,-1.5902952620737008,12.0
3,0.00301,-9.879240100709545,1.2793774319066156
4,0.003764,-9.905607690547036,-9.760585946440834
5,0.004516,-9.880704966811628,-9.772304875257497
6,0.005269,-10.10263218127718,-10.091645685511558
7,0.006023,-9.898283360036622,-9.908537422751202
8,0.006775,-9.937834744792859,-9.808194094758527
9,0.007528,-10.130464637216754,-10.088715953307393
10,0.008282,-10.065278095674067,-9.734950789654384
11,0.009034,-10.118745708400091,-10.17953765163653
12,0.009787,-10.167086289768825,-10.016937514305333
13,0.010539,-10.079926756694896,-9.827969787136645
14,0.011293,-9.975921263447013,-10.115815976195925
15,0.012046,-9.626550698100253,-10.107026779583428
16,0.012798,-9.96932936598764,-10.072602426184481
17,0.013551,-10.301121538109406,-10.041840238040741
18,0.014303,-9.824307621881438,-9.962737468528267
19,0.015056,-9.905607690547036,-10.011810482948043
20,0.015809,-10.027191577019913,-10.139986266880292
21,0.016562,-10.123872739757381,-10.079926756694896
22,0.017314,-9.908537422751202,-9.789883268482491
23,0.018066,-9.726894026092928,-10.181734950789654
24,0.01882,-9.954680704966812,-10.032318608377203
25,0.019572,-9.972259098191806,-10.098970016021973
26,0.020324,-10.068207827878233,-9.929777981231403
27,0.021077,-10.05648889906157,-10.044037537193866
28,0.021829,-9.94369420920119,-9.788418402380408
29,0.022582,-10.039642938887617,-9.810391393911651
30,0.023333,-10.279148546578163,-10.18979171435111
31,0.024085,-9.905607690547036,-9.742275120164798
32,0.024838,-10.052826733806363,-9.936369878690776
33,0.02559,-10.039642938887617,-10.033051041428244
34,0.026343,-10.079194323643854,-9.972991531242847
35,0.027097,-9.872648203250172,-9.752529182879378
36,0.02785,-10.057221332112611,-9.648523689631496
37,0.028602,-10.096040283817807,-9.970061799038682
38,0.029356,-10.037445639734493,-9.816250858319982
39,0.030107,-10.058686198214694,-9.899748226138705
40,0.030861,-9.983245593957427,-9.95394827191577
41,0.031614,-10.126070038910505,-9.939299610894942
42,0.032367,-9.742275120164798,-9.819180590524148
43,0.033119,-9.978850995651179,-9.981780727855345
44,0.033873,-10.049164568551156,-10.076264591439688
45,0.034626,-10.024261844815747,-9.795010299839781
46,0.035379,-10.013275349050126,-9.827969787136645
47,0.036132,-9.763515678645,-9.754726482032503
48,0.036885,-10.096040283817807,-9.485923552300296
49,0.037638,-9.951750972762646,-10.181002517738612
50,0.038391,-10.265964751659418,-10.164888990615701
51,0.039143,-10.088715953307393,-9.742275120164798
52,0.039896,-9.822842755779355,-10.093842984664683
53,0.040649,-10.074067292286564,-10.011810482948043
54,0.041401,-9.787685969329367,-10.016937514305333
55,0.042154,-10.057953765163653,-10.041840238040741
56,0.042907,-9.893888761730373,-10.074067292286564
57,0.04366,-9.946623941405356,-10.128999771114671
58,0.044413,-10.310643167772945,-9.720302128633556
59,0.045165,-10.105561913481345,-10.168551155870908
60,0.045916,-10.049897001602197,-10.172945754177157
61,0.046669,-10.026459143968872,-10.083588921950103
62,0.047423,-10.25717555504692,-10.086518654154268
63,0.048175,-10.1949187457084,-9.883634699015794
64,0.048929,-9.696131837949189,-9.970061799038682
65,0.049681,-10.12314030670634,-9.95907530327306
66,0.050433,-10.112153810940718,-10.139253833829251
67,0.051192,-10.008148317692836,-9.921721217669948
68,0.051945,-10.12314030670634,-9.971526665140765
69,0.052699,-9.895353627832456,-9.962737468528267
70,0.053452,-10.137788967727168,-10.022064545662623
71,0.054206,-9.96932936598764,-10.209567406729228
72,0.054959,-9.920256351567865,-9.829434653238728
73,0.055713,-9.822110322728314,-9.942229343099108
74,0.056464,-10.002288853284504,-9.790615701533532
75,0.057222,-9.882902265964752,-10.116548409246967
76,0.057975,-9.870450904097048,-9.92318608377203
77,0.058728,-9.914396887159533,-9.887296864271
78,0.059481,-10.09750514991989,-10.024994277866789
79,0.06024,-9.88143739986267,-9.899748226138705
80,0.060991,-9.949553673609522,-10.019134813458457
81,0.061746,-9.749599450675213,-10.38022430762188
82,0.062499,-10.040375371938659,-9.978850995651179
83,0.063252,-10.04623483634699,-9.732021057450218
84,0.064006,-9.926848249027238,-10.019134813458457
85,0.064758,-10.074067292286564,-10.016937514305333
86,0.065512,-10.098970016021973,-10.022796978713664
87,0.066264,-9.89755092698558,-10.078461890592813
88,0.067018,-9.972259098191806,-10.060151064316777
89,0.067771,-9.852872510872054,-9.964934767681392
90,0.068524,-9.844083314259557,-9.792813000686657
91,0.069277,-9.942229343099108,-9.990569924467842
92,0.07003,-9.920256351567865,-9.805996795605402
93,0.070784,-9.94882124055848,-9.757656214236668
94,0.071537,-9.81991302357519,-9.791348134584574
95,0.072289,-9.68148317692836,-9.96420233463035
96,0.073041,-10.019134813458457,-9.800137331197071
97,0.073795,-10.098970016021973,-9.699794003204396
98,0.074549,-10.342870222018767,-9.623620965896087
99,0.075301,-10.057953765163653,-10.161959258411535
100,0.076054,-9.983245593957427,-9.97445639734493
101,0.076808,-9.988372625314717,-10.022064545662623
102,0.077559,-10.039642938887617,-10.275486381322956
103,0.078311,-10.203707942320897,-10.067475394827191
104,0.079062,-10.062348363469901,-9.89169146257725
105,0.079815,-10.100434882124055,-9.972991531242847
106,0.080567,-10.058686198214694,-10.023529411764706
107,0.08132,-10.181734950789654,-10.072602426184481
108,0.082072,-9.801602197299154,-9.826504921034562
109,0.082824,-10.072602426184481,-10.038910505836576
110,0.083576,-9.950286106660563,-9.828702220187687
111,0.084329,-10.085786221103227,-9.986175326161593
112,0.085083,-9.972991531242847,-10.10775921263447
113,0.085837,-10.063080796520943,-9.982513160906386
114,0.086591,-10.098970016021973,-10.044037537193866
115,0.087345,-9.725429159990846,-9.699061570153354
116,0.088098,-9.868986037994965,-9.879240100709545
117,0.08885,-9.849210345616846,-9.791348134584574
118,0.089602,-9.959807736324102,-10.124605172808423
119,0.090355,-9.94882124055848,-10.13852140077821
120,0.091107,-10.23666742961776,-9.863126573586634
121,0.09186,-10.254245822842755,-10.014007782101167
122,0.092614,-10.081391622796978,-9.854337376974136
123,0.093367,-10.074067292286564,-9.795742732890822
124,0.094118,-9.995696955825132,-9.87704280155642
125,0.094871,-9.961272602426185,-9.864591439688716
126,0.095624,-9.987640192263676,-9.921721217669948
127,0.096376,-9.967864499885557,-9.83089951934081
128,0.09713,-9.863126573586634,-10.283543144884412
129,0.097882,-9.712977798123141,-9.978850995651179
130,0.098635,-10.012542915999084,-9.877775234607462
131,0.099387,-10.207370107576104,-9.695399404898147
132,0.100141,-10.130464637216754,-9.92318608377203
133,0.100895,-10.067475394827191,-10.104097047379263
134,0.101648,-10.05136186770428,-9.784756237125201
135,0.1024,-10.026459143968872,-9.616296635385673
136,0.103153,-9.852140077821012,-9.997161821927214
137,0.103907,-10.065278095674067,-10.119478141451133
138,0.104661,-9.915129320210575,-9.734950789654384
139,0.105415,-10.000823987182422,-10.227878233005264
140,0.106167,-9.942961776150149,-9.770840009155414
141,0.10692,-10.101167315175097,-10.024261844815747
142,0.107673,-10.023529411764706,-9.978118562600137
143,0.108425,-10.06674296177615,-9.857999542229344
144,0.109178,-9.84628061341268,-9.748867017624171
145,0.10993,-10.00009155413138,-10.00521858548867
146,0.110683,-10.00521858548867,-10.024261844815747
147,0.111435,-10.078461890592813,-9.790615701533532
148,0.112192,-9.83529411764706,-9.937102311741818
149,0.112944,-10.149507896543831,-10.019134813458457
150,0.113698,-10.148043030441748,-9.826504921034562
151,0.11445,-10.01034561684596,-10.062348363469901
152,0.115205,-10.15902952620737,-9.718104829480431
153,0.115959,-10.145113298237582,-10.175143053330281
154,0.116712,-9.878507667658504,-10.060151064316777
155,0.117466,-9.65584802014191,-10.080659189745937
156,0.118224,-10.049164568551156,-10.042572671091783
157,0.118976,-9.817715724422065,-9.989105058365759
158,0.11973,-10.098237582970931,-9.8360265506981
159,0.120481,-10.055024032959487,-9.935637445639735
160,0.121239,-9.810391393911651,-10.363378347447927
161,0.121991,-9.628015564202336,-9.775967040512704
162,0.122746,-10.060151064316777,-9.940764476997025
163,0.1235,-9.793545433737698,-9.978118562600137
164,0.124252,-10.348729686427099,-10.070405127031357
165,0.125004,-10.127534905012588,-9.999359121080339
166,0.125757,-9.844815747310598,-9.88143739986267
167,0.12651,-10.079194323643854,-10.008148317692836
168,0.127263,-10.178072785534447,-9.988372625314717
169,0.128015,-10.08725108720531,-9.982513160906386
170,0.128769,-10.072602426184481,-10.204440375371938
171,0.129521,-10.070405127031357,-9.890226596475166
172,0.130275,-9.71737239642939,-10.039642938887617
173,0.131027,-9.96420233463035,-9.923918516823072
174,0.131779,-9.904875257495995,-10.306981002517738
175,0.132531,-10.07186999313344,-10.22055390249485
176,0.133285,-9.844815747310598,-10.080659189745937
177,0.134039,-9.970794232089723,-10.170748455024032
178,0.134792,-9.992034790569924,-9.85653467612726
179,0.135544,-9.90707255664912,-10.003753719386587
180,0.136297,-10.157564660105287,-9.893888761730373
181,0.13705,-10.094575417715724,-10.076264591439688
182,0.137803,-10.006683451590753,-10.149507896543831
183,0.138555,-10.116548409246967,-10.150972762645914
184,0.139308,-9.874845502403296,-9.970794232089723
185,0.14006,-10.052826733806363,-10.052094300755321
186,0.140813,-10.026459143968872,-9.461020828564887
187,0.141566,-10.119478141451133,-9.952483405813688
188,0.142318,-9.96420233463035,-9.86166170748455
189,0.143071,-10.038178072785534,-10.071137560082398
190,0.143823,-10.249118791485465,-10.283543144884412
191,0.144576,-10.183199816891737,-9.646326390478372
192,0.145328,-10.045502403295949,-10.02572671091783
193,0.14608,-10.06674296177615,-10.193453879606317
194,0.146834,-10.002288853284504,-9.819180590524148
195,0.147587,-10.18979171435111,-10.270359349965666
196,0.148339,-9.96932936598764,-10.273289082169832
197,0.149092,-9.852872510872054,-10.02572671091783
198,0.149846,-9.931975280384528,-9.929045548180362
199,0.1506,-9.823575188830397,-10.183932249942778
200,0.151353,-10.175875486381322,-9.972259098191806
201,0.152105,-9.786221103227284,-9.986907759212635
202,0.152859,-10.187594415197985,-9.89169146257725
203,0.153612,-10.042572671091783,-9.927580682078279
204,0.154366,-10.107026779583428,-9.798672465094988
205,0.15512,-10.021332112611582,-9.863859006637675
206,0.155872,-9.927580682078279,-10.02572671091783
207,0.156626,-9.844815747310598,-9.950286106660563
208,0.15738,-9.992767223620966,-10.274753948271915
209,0.158133,-10.024261844815747,-9.992034790569924
210,0.158885,-9.641931792172123,-10.304783703364613
211,0.159638,-10.05648889906157,-10.05648889906157
212,0.160392,-9.89242389562829,-10.005951018539712
213,0.161145,-9.909269855802243,-10.166353856717784
214,0.161899,-10.022796978713664,-9.595788509956513
215,0.162652,-10.13852140077821,-9.942961776150149
216,0.163404,-9.86678873884184,-10.004486152437629
217,0.164156,-10.260837720302128,-10.130464637216754
218,0.16491,-9.908537422751202,-10.077729457541771
219,0.165663,-10.001556420233463,-9.86092927443351
220,0.166415,-10.058686198214694,-9.970794232089723
221,0.167168,-10.126070038910505,-9.874113069352255
222,0.167919,-10.120943007553215,-10.30844586861982
223,0.168673,-9.88216983291371,-9.887296864271
224,0.169425,-10.038910505836576,-9.983245593957427
225,0.170178,-10.000823987182422,-9.893156328679332
226,0.170932,-10.085786221103227,-9.882902265964752
227,0.171684,-9.964934767681392,-10.135591668574044
228,0.172436,-9.970061799038682,-10.035248340581369
229,0.173193,-9.971526665140765,-10.00521858548867
230,0.173947,-10.29306477454795,-10.2461890592813
231,0.174702,-9.945159075303273,-10.014007782101167
232,0.175454,-9.781826504921035,-9.637537193865874
233,0.176207,-10.068940260929274,-9.895353627832456
234,0.17696,-10.016937514305333,-9.995696955825132
235,0.177712,-9.913664454108492,-9.970061799038682
236,0.178464,-9.913664454108492,-10.002288853284504
237,0.179221,-9.921721217669948,-9.97958342870222
238,0.179974,-10.07186999313344,-10.014007782101167
239,0.180727,-10.233737697413595,-10.104829480430304
240,0.181481,-10.23593499656672,-10.002288853284504
241,0.182238,-9.992767223620966,-10.062348363469901
242,0.182991,-10.23666742961776,-9.983245593957427
243,0.183746,-9.748867017624171,-9.997161821927214
244,0.184499,-10.175875486381322,-9.857267109178302
245,0.185251,-9.710780498970017,-10.263035019455252
246,0.186004,-10.024261844815747,-9.88143739986267
247,0.186758,-9.899748226138705,-9.98471046005951
248,0.18751,-10.024994277866789,-10.233005264362554
249,0.188263,-10.035248340581369,-9.86678873884184
250,0.189015,-10.104097047379263,-10.027924010070954
251,0.189768,-10.278416113527122,-10.10263218127718
252,0.190521,-9.764980544747083,-10.18027008468757
253,0.191273,-10.111421377889677,-10.222018768596932
254,0.192025,-9.802334630350195,-10.07699702449073
255,0.192779,-10.120943007553215,-10.139986266880292
256,0.193532,-10.186129549095902,-10.082856488899061
257,0.194285,-10.032318608377203,-9.637537193865874
258,0.195039,-10.13852140077821,-10.248386358434423
259,0.195793,-10.072602426184481,-9.89681849393454
260,0.196545,-10.088715953307393,-9.777431906614787
261,0.197297,-9.96420233463035,-9.797207598992905
262,0.198049,-10.055024032959487,-9.918791485465782
263,0.198801,-10.005951018539712,-10.112153810940718
264,0.199554,-10.019134813458457,-9.996429388876173
265,0.200307,-10.203707942320897,-10.004486152437629
266,0.20106,-10.023529411764706,-9.744472419317923
